judge_rapporteur_name,n_decisions,top1_match,top3_match,mean_prob,mean_rank,top1_rate,top3_rate,loo_roc_auc
Vojtěch Šimíček,35,4,19,0.05796421476375679,5.942857142857143,0.11428571428571428,0.5428571428571428,0.978441127694859
Eliška Wagnerová,18,1,4,0.015840037998701303,6.444444444444445,0.05555555555555555,0.2222222222222222,0.9190730837789661
Jan Filip,16,0,0,0.002788720966491425,10.375,0.0,0.0,0.9988198269079466
Radovan Suchánek,16,7,13,0.26384814212103846,2.1875,0.4375,0.8125,0.9345479082321188
Ludvík David,16,1,1,0.012600838136785494,10.4375,0.0625,0.0625,0.8967874231032126
Jiří Zemánek,14,0,1,0.005774900375972678,8.285714285714286,0.0,0.07142857142857142,0.9713836477987422
Jiří Nykodým,11,0,3,0.009097396587267992,6.818181818181818,0.0,0.2727272727272727,0.3955882352941177
Kateřina Šimáčková,9,1,4,0.038810456185848406,6.777777777777778,0.1111111111111111,0.4444444444444444,0.9907749077490775
Vladimír Kůrka,7,1,1,0.09892504655662349,5.0,0.14285714285714285,0.14285714285714285,0.9752808988764045
Stanislav Balík,6,1,4,0.19057558441509,2.8333333333333335,0.16666666666666666,0.6666666666666666,0.8911764705882353
Michaela Židlická,6,0,0,0.0032385396487588504,9.166666666666666,0.0,0.0,0.9588235294117647
Miloslav Výborný,5,0,2,0.0040688709603165394,8.8,0.0,0.4,0.9751243781094527
David Uhlíř,5,0,0,0.00216923246467856,12.6,0.0,0.0,0.9428044280442804
Ivana Janů,5,3,4,0.16251235605514683,2.0,0.6,0.8,0.8519132653061224
Jan Musil,5,0,1,0.006149411338554681,9.0,0.0,0.2,0.9945224238274565
Vladimír Sládeček,3,1,1,0.30735863658611906,5.0,0.3333333333333333,0.3333333333333333,0.9544117647058824
Josef Fiala,2,0,2,0.0290572390807476,2.5,0.0,1.0,0.9817708333333334
Iva Brožová,1,1,1,0.9331948388611254,1.0,1.0,1.0,1.0
Pavel Varvařovský,1,1,1,0.9768263442383356,1.0,1.0,1.0,0.9929386203150462
